transaction_id,item,quantity,price,total,payment_method,location,transaction_date,month_name
TXN_9580673,Cake,2,3.0,6.0,Unknown,In-Store,2023-06-25,June
TXN_3856427,Cake,4,3.0,12.0,Unknown,In-Store,2023-03-25,March
TXN_1068317,Cake,3,3.0,9.0,Digital Wallet,Takeaway,2023-03-16,March
TXN_6105240,Cake,5,3.0,15.0,Unknown,In-Store,2023-11-27,November
TXN_1707537,Cake,3,3.0,9.0,Digital Wallet,Takeaway,2023-10-17,October
TXN_2977414,Cake,4,3.0,12.0,Unknown,Unknown,2023-06-09,June
TXN_8131533,Cake,1,3.0,3.0,Cash,In-Store,2023-07-18,July
TXN_4559065,Cake,1,3.0,3.0,Cash,In-Store,2023-05-03,May
TXN_7440057,Cake,1,3.0,3.0,Credit Card,Unknown,2023-07-05,July
TXN_1395083,Cake,1,3.0,3.0,Cash,In-Store,2023-07-08,July
TXN_5858988,Cake,1,3.0,3.0,Credit Card,Takeaway,2023-06-24,June
TXN_5081978,Cake,1,3.0,3.0,Unknown,In-Store,2023-10-19,October
TXN_7075261,Cake,1,3.0,3.0,Unknown,Unknown,2023-07-29,July
TXN_6706599,Cake,1,3.0,3.0,Unknown,Takeaway,2023-09-20,September
TXN_2586830,Cake,1,3.0,3.0,Unknown,In-Store,2023-02-12,February
TXN_8155535,Cake,1,3.0,3.0,Unknown,Takeaway,2023-03-13,March
TXN_7058377,Cake,1,3.0,3.0,Unknown,Takeaway,2023-04-30,April
TXN_6225305,Cake,1,3.0,3.0,Cash,Takeaway,2023-05-05,May
TXN_3421456,Cake,1,3.0,3.0,Unknown,Unknown,2023-09-05,September
TXN_6516391,Cake,2,3.0,6.0,Digital Wallet,Unknown,2023-06-16,June
TXN_1773856,Cake,2,3.0,6.0,Unknown,Unknown,2023-08-11,August
TXN_4966149,Cake,2,3.0,6.0,Cash,Unknown,2023-04-10,April
TXN_9171458,Cake,2,3.0,6.0,Unknown,Unknown,2023-03-29,March
TXN_3493771,Cake,2,3.0,6.0,Unknown,Unknown,2023-02-13,February
TXN_7476268,Cake,2,3.0,6.0,Credit Card,Unknown,2023-06-07,June
TXN_4214066,Cake,2,3.0,6.0,Unknown,In-Store,2023-07-23,July
TXN_4837447,Cake,2,3.0,6.0,Digital Wallet,Takeaway,2023-11-06,November
TXN_7321789,Cake,3,3.0,9.0,Digital Wallet,Takeaway,2023-05-10,May
TXN_8941409,Cake,3,3.0,9.0,Unknown,Unknown,2023-11-12,November
TXN_6077816,Cake,3,3.0,9.0,Credit Card,Unknown,2023-09-26,September
TXN_8261380,Cake,3,3.0,9.0,Cash,In-Store,2023-10-01,October
TXN_7321946,Cake,3,3.0,9.0,Cash,Takeaway,2023-02-12,February
TXN_9605972,Cake,3,3.0,9.0,Unknown,Unknown,2023-09-30,September
TXN_4612146,Cake,3,3.0,9.0,Cash,Unknown,2023-12-31,December
TXN_3303518,Cake,4,3.0,12.0,Unknown,In-Store,2023-06-30,June
TXN_7079566,Cake,4,3.0,12.0,Digital Wallet,In-Store,2023-10-20,October
TXN_3439712,Cake,4,3.0,12.0,Unknown,In-Store,2023-04-04,April
TXN_9788956,Cake,4,3.0,12.0,Unknown,Unknown,2023-04-11,April
TXN_4617139,Cake,4,3.0,12.0,Unknown,Unknown,2023-04-12,April
TXN_4912458,Cake,4,3.0,12.0,Unknown,Takeaway,2023-06-12,June
TXN_6024139,Cake,4,3.0,12.0,Digital Wallet,Unknown,2023-08-15,August
TXN_3771902,Cake,5,3.0,15.0,Cash,Takeaway,2023-03-31,March
TXN_7932127,Coffee,3,2.0,6.0,Unknown,Unknown,2023-07-29,July
TXN_3933290,Coffee,1,2.0,2.0,Unknown,Unknown,2023-08-05,August
TXN_5316852,Coffee,2,2.0,4.0,Digital Wallet,Unknown,2023-04-08,April
TXN_5120215,Coffee,2,2.0,4.0,Digital Wallet,Unknown,2023-10-29,October
TXN_1701798,Coffee,2,2.0,4.0,Cash,Takeaway,2023-07-24,July
TXN_5777903,Coffee,2,2.0,4.0,Unknown,Takeaway,2023-05-15,May
TXN_1976619,Coffee,2,2.0,4.0,Digital Wallet,Unknown,2023-08-02,August
TXN_3203928,Coffee,3,2.0,6.0,Unknown,In-Store,2023-12-04,December
TXN_7543921,Coffee,3,2.0,6.0,Cash,In-Store,2023-12-06,December
TXN_3093284,Coffee,4,2.0,8.0,Digital Wallet,In-Store,2023-01-01,January
TXN_9942517,Coffee,4,2.0,8.0,Digital Wallet,In-Store,2023-04-29,April
TXN_6546131,Coffee,4,2.0,8.0,Credit Card,In-Store,2023-06-26,June
TXN_6897172,Coffee,4,2.0,8.0,Digital Wallet,Unknown,2023-12-08,December
TXN_6591736,Coffee,4,2.0,8.0,Unknown,Takeaway,2023-06-21,June
TXN_6324434,Coffee,4,2.0,8.0,Cash,Takeaway,2023-12-04,December
TXN_4367311,Coffee,5,2.0,10.0,Unknown,In-Store,2023-02-26,February
TXN_8377178,Coffee,5,2.0,10.0,Unknown,Unknown,2023-02-03,February
TXN_7187207,Coffee,5,2.0,10.0,Cash,Unknown,2023-02-18,February
TXN_7896831,Coffee,5,2.0,10.0,Cash,Takeaway,2023-04-01,April
TXN_5268025,Cookie,5,1.0,5.0,Digital Wallet,In-Store,2023-05-19,May
TXN_2747156,Cookie,1,1.0,1.0,Unknown,In-Store,2023-01-29,January
TXN_1228888,Cookie,1,1.0,1.0,Credit Card,In-Store,2023-10-05,October
TXN_4624019,Cookie,1,1.0,1.0,Cash,Unknown,2023-02-12,February
TXN_8384428,Cookie,1,1.0,1.0,Digital Wallet,In-Store,2023-08-11,August
TXN_5881237,Cookie,2,1.0,2.0,Unknown,Unknown,2023-08-14,August
TXN_1356599,Cookie,2,1.0,2.0,Cash,Takeaway,2023-12-14,December
TXN_8567525,Cookie,2,1.0,2.0,Unknown,Takeaway,2023-12-30,December
TXN_9923860,Cookie,2,1.0,2.0,Unknown,Unknown,2023-11-16,November
TXN_4293196,Cookie,3,1.0,3.0,Unknown,In-Store,2023-06-17,June
TXN_9923952,Cookie,4,1.0,4.0,Unknown,Takeaway,2023-08-08,August
TXN_7551280,Cookie,4,1.0,4.0,Credit Card,Takeaway,2023-04-14,April
TXN_9522690,Cookie,4,1.0,4.0,Credit Card,In-Store,2023-07-23,July
TXN_2749862,Salad,4,5.0,20.0,Digital Wallet,Unknown,2023-07-19,July
TXN_1268811,Salad,1,5.0,5.0,Unknown,Unknown,2023-01-04,January
TXN_1191068,Salad,1,5.0,5.0,Unknown,Unknown,2023-05-19,May
TXN_1801691,Salad,1,5.0,5.0,Unknown,Takeaway,2023-05-18,May
TXN_4275169,Salad,1,5.0,5.0,Unknown,Takeaway,2023-06-27,June
TXN_9551491,Salad,1,5.0,5.0,Unknown,Unknown,2023-07-13,July
TXN_2851446,Salad,2,5.0,10.0,Credit Card,Takeaway,2023-10-08,October
TXN_1647144,Salad,2,5.0,10.0,Unknown,Takeaway,2023-08-29,August
TXN_7498727,Salad,3,5.0,15.0,Cash,Unknown,2023-11-06,November
TXN_7708201,Salad,3,5.0,15.0,Cash,Unknown,2023-01-04,January
TXN_6149748,Salad,3,5.0,15.0,Credit Card,Unknown,2023-07-06,July
TXN_6160209,Salad,3,5.0,15.0,Unknown,In-Store,2023-07-28,July
TXN_5351447,Salad,4,5.0,20.0,Unknown,Unknown,2023-07-20,July
TXN_5744026,Salad,4,5.0,20.0,Unknown,Unknown,2023-04-03,April
TXN_3481470,Salad,4,5.0,20.0,Credit Card,In-Store,2023-12-24,December
TXN_3680192,Salad,4,5.0,20.0,Digital Wallet,Takeaway,2023-05-20,May
TXN_8240436,Salad,5,5.0,25.0,Unknown,In-Store,2023-07-05,July
TXN_4294955,Salad,5,5.0,25.0,Unknown,Unknown,2023-10-19,October
TXN_4095768,Salad,5,5.0,25.0,Digital Wallet,In-Store,2023-06-18,June
TXN_6684056,Sandwich,2,4.0,8.0,Unknown,Unknown,2023-09-14,September
TXN_3394710,Sandwich,1,4.0,4.0,Digital Wallet,In-Store,2023-10-22,October
TXN_8955912,Sandwich,1,4.0,4.0,Unknown,Unknown,2023-11-07,November
TXN_1617594,Sandwich,1,4.0,4.0,Unknown,In-Store,2023-04-23,April
TXN_6334895,Sandwich,1,4.0,4.0,Credit Card,Unknown,2023-07-27,July
TXN_9340653,Sandwich,1,4.0,4.0,Digital Wallet,Unknown,2023-10-19,October
TXN_9103318,Sandwich,2,4.0,8.0,Unknown,Unknown,2023-11-13,November
TXN_9073440,Sandwich,2,4.0,8.0,Credit Card,Takeaway,2023-08-28,August
TXN_7429032,Sandwich,2,4.0,8.0,Unknown,Takeaway,2023-08-18,August
TXN_6704173,Sandwich,2,4.0,8.0,Credit Card,Unknown,2023-07-24,July
